tipo;codigo_ies;nombre_ies;tipo_institucion_i;tipo_institucion_ii;tipo_institucion_iii;año;variable;subvariable;valor
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total Mujeres;2,10000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total Hombres;3,19000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° de académicos por insitución;Total General;5,29000000000000e+02
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad Mujeres;4,32095238095238e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad Hombres;4,57178683385580e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;Promedio de edad de los acádemicos;Promedio Edad por institución;4,47221172022684e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Menos de 35;3,40000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 35 y 44;9,60000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 45 y 54;5,30000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 55 64;2,30000000000000e+01
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;2024;N° acádemicos por rango de edad - Mujeres;Entre 65 y mas;4,00000000000000e+00
