nombre_ies;codigo_ies;codigo_sede;nombre_sede;codigo_comuna;nombre_comuna;codigo_region;nombre_region;n_sedes
UNIVERSIDAD GABRIELA MISTRAL;1;1;CASA CENTRAL;13123;Providencia;13;Metropolitana de Santiago;1
UNIVERSIDAD FINIS TERRAE;2;1;CASA CENTRAL (SANTIAGO);13123;Providencia;13;Metropolitana de Santiago;1
UNIVERSIDAD DIEGO PORTALES;3;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD CENTRAL DE CHILE;4;1;SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;3
UNIVERSIDAD CENTRAL DE CHILE;4;7;SEDE LA SERENA;04101;La Serena;04;Coquimbo;3
UNIVERSIDAD CENTRAL DE CHILE;4;9;SUB-CAMPUS ALMAGRO NORTE;13101;Santiago;13;Metropolitana de Santiago;3
UNIVERSIDAD BOLIVARIANA;7;11;SEDE CHILLAN;16101;Chillán;16;Ñuble;8
UNIVERSIDAD BOLIVARIANA;7;12;SEDE TALCA;07101;Talca;07;Maule;8
UNIVERSIDAD BOLIVARIANA;7;13;SEDE CONCEPCION;08101;Concepción;08;Biobío;8
UNIVERSIDAD BOLIVARIANA;7;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;8
UNIVERSIDAD BOLIVARIANA;7;2;SEDE IQUIQUE;01101;Iquique;01;Tarapacá;8
UNIVERSIDAD BOLIVARIANA;7;3;SEDE LOS ANGELES;08301;Los Angeles;08;Biobío;8
UNIVERSIDAD BOLIVARIANA;7;7;SEDE LA SERENA;04101;La Serena;04;Coquimbo;8
UNIVERSIDAD BOLIVARIANA;7;8;SEDE OVALLE;04301;Ovalle;04;Coquimbo;8
UNIVERSIDAD DEL ALBA;9;1;CASA CENTRAL (SANTIAGO - PROVIDENCIA);13123;Providencia;13;Metropolitana de Santiago;5
UNIVERSIDAD DEL ALBA;9;2;SEDE LA SERENA;04101;La Serena;04;Coquimbo;5
UNIVERSIDAD DEL ALBA;9;6;SEDE CONCEPCION;08101;Concepción;08;Biobío;5
UNIVERSIDAD DEL ALBA;9;8;SEDE ANTOFAGASTA;02101;Antofagasta;02;Antofagasta;5
UNIVERSIDAD DEL ALBA;9;9;SEDE CHILLAN;16101;Chillán;16;Ñuble;5
UNIVERSIDAD MAYOR;10;10;SEDE ALONSO DE CORDOVA;13114;Las Condes;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;11;SEDE REPUBLICA;13101;Santiago;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;12;SEDE ORIENTE;13101;Santiago;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;2;SEDE ALAMEDA;13101;Santiago;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;4;SEDE TEMUCO;09101;Temuco;09;La Araucanía;10
UNIVERSIDAD MAYOR;10;5;SEDE DEL CLAUSTRO;13101;Santiago;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;6;SEDE HUECHURABA;13107;Huechuraba;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;7;SEDE MANUEL MONTT;13123;Providencia;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;8;SEDE SANTO DOMINGO;13101;Santiago;13;Metropolitana de Santiago;10
UNIVERSIDAD MAYOR;10;9;SEDE CONSERVATORIO DE MUSICA;13114;Las Condes;13;Metropolitana de Santiago;10
UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO;11;1;CASA CENTRAL (CONDELL);13123;Providencia;13;Metropolitana de Santiago;2
UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO;11;2;CAMPUS BRASIL;13101;Santiago;13;Metropolitana de Santiago;2
UNIVERSIDAD SANTO TOMAS;13;10;SEDE TEMUCO;09101;Temuco;09;La Araucanía;14
UNIVERSIDAD SANTO TOMAS;13;11;SEDE PUERTO MONTT;10101;Puerto Montt;10;Los Lagos;14
UNIVERSIDAD SANTO TOMAS;13;12;SEDE OSORNO;10301;Osorno;10;Los Lagos;14
UNIVERSIDAD SANTO TOMAS;13;15;SEDE COPIAPO;03101;Copiapó;03;Atacama;14
UNIVERSIDAD SANTO TOMAS;13;16;SEDE CONCEPCION;08101;Concepción;08;Biobío;14
UNIVERSIDAD SANTO TOMAS;13;17;SEDE VALDIVIA;14101;Valdivia;14;Los Ríos;14
UNIVERSIDAD SANTO TOMAS;13;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;14
UNIVERSIDAD SANTO TOMAS;13;2;SEDE ARICA;15101;Arica;15;Arica y Parinacota;14
UNIVERSIDAD SANTO TOMAS;13;3;SEDE IQUIQUE;01101;Iquique;01;Tarapacá;14
UNIVERSIDAD SANTO TOMAS;13;4;SEDE ANTOFAGASTA;02101;Antofagasta;02;Antofagasta;14
UNIVERSIDAD SANTO TOMAS;13;5;SEDE LA SERENA;04101;La Serena;04;Coquimbo;14
UNIVERSIDAD SANTO TOMAS;13;6;SEDE VIÑA DEL MAR;05109;Viña del Mar;05;Valparaíso;14
UNIVERSIDAD SANTO TOMAS;13;7;SEDE TALCA;07101;Talca;07;Maule;14
UNIVERSIDAD SANTO TOMAS;13;9;SEDE LOS ANGELES;08301;Los Angeles;08;Biobío;14
UNIVERSIDAD LA REPUBLICA;16;13;SEDE CONCEPCION;08101;Concepción;08;Biobío;11
UNIVERSIDAD LA REPUBLICA;16;1;SEDE SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;11
UNIVERSIDAD LA REPUBLICA;16;20;SEDE CALAMA;02201;Calama;02;Antofagasta;11
UNIVERSIDAD LA REPUBLICA;16;22;SEDE TALCA;07101;Talca;07;Maule;11
UNIVERSIDAD LA REPUBLICA;16;24;SEDE COQUIMBO;04102;Coquimbo;04;Coquimbo;11
UNIVERSIDAD LA REPUBLICA;16;26;SEDE RANCAGUA;06101;Rancagua;06;Libertador General Bernardo O'Higgins;11
UNIVERSIDAD LA REPUBLICA;16;27;SEDE ARICA;15101;Arica;15;Arica y Parinacota;11
UNIVERSIDAD LA REPUBLICA;16;28;SEDE TEMUCO;09101;Temuco;09;La Araucanía;11
UNIVERSIDAD LA REPUBLICA;16;6;SEDE ÑUBLE;16101;Chillán;16;Ñuble;11
UNIVERSIDAD LA REPUBLICA;16;8;SEDE LOS ANGELES;08301;Los Angeles;08;Biobío;11
UNIVERSIDAD LA REPUBLICA;16;9;SEDE ANTOFAGASTA;02101;Antofagasta;02;Antofagasta;11
UNIVERSIDAD SEK;17;1;SEDE SANTIAGO CENTRO;13101;Santiago;13;Metropolitana de Santiago;3
UNIVERSIDAD SEK;17;2;SEDE PROVIDENCIA;13123;Providencia;13;Metropolitana de Santiago;3
UNIVERSIDAD SEK;17;3;SEDE PARQUE ARRIETA;13122;Peñalolén;13;Metropolitana de Santiago;3
UNIVERSIDAD DE LAS AMERICAS;19;1;CAMPUS PROVIDENCIA;13123;Providencia;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;2;CAMPUS LA FLORIDA;13110;La Florida;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;3;CAMPUS MAIPU;13119;Maipú;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;4;CAMPUS SANTIAGO CENTRO;13101;Santiago;13;Metropolitana de Santiago;7
UNIVERSIDAD DE LAS AMERICAS;19;5;SEDE CONCEPCION;08101;Concepción;08;Biobío;7
UNIVERSIDAD DE LAS AMERICAS;19;6;SEDE VIÑA DEL MAR;05109;Viña del Mar;05;Valparaíso;7
UNIVERSIDAD DE LAS AMERICAS;19;9;CAMPUS MELIPILLA;13501;Melipilla;13;Metropolitana de Santiago;7
UNIVERSIDAD ANDRES BELLO;20;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;4
UNIVERSIDAD ANDRES BELLO;20;2;SEDE CASONA DE LAS CONDES;13114;Las Condes;13;Metropolitana de Santiago;4
UNIVERSIDAD ANDRES BELLO;20;3;SEDE VIÑA DEL MAR;05109;Viña del Mar;05;Valparaíso;4
UNIVERSIDAD ANDRES BELLO;20;4;SEDE CONCEPCION;08101;Concepción;08;Biobío;4
UNIVERSIDAD DE VIÑA DEL MAR;22;1;CASA CENTRAL (VIÑA DEL MAR);05109;Viña del Mar;05;Valparaíso;1
UNIVERSIDAD ADOLFO IBAÑEZ;23;1;CASA CENTRAL (VIÑA DEL MAR);05109;Viña del Mar;05;Valparaíso;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;2;SEDE PEÑALOLEN;13122;Peñalolén;13;Metropolitana de Santiago;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;3;SEDE PRESIDENTE ERRAZURIZ;13114;Las Condes;13;Metropolitana de Santiago;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;4;SEDE VITACURA;13132;Vitacura;13;Metropolitana de Santiago;4
UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC;26;1;CASA CENTRAL (SANTIAGO);13123;Providencia;13;Metropolitana de Santiago;1
UNIVERSIDAD AUTONOMA DE CHILE;31;1;CASA CENTRAL (TEMUCO);09101;Temuco;09;La Araucanía;4
UNIVERSIDAD AUTONOMA DE CHILE;31;2;SEDE TALCA;07101;Talca;07;Maule;4
UNIVERSIDAD AUTONOMA DE CHILE;31;3;CAMPUS EL LLANO;13130;San Miguel;13;Metropolitana de Santiago;4
UNIVERSIDAD AUTONOMA DE CHILE;31;4;CAMPUS PROVIDENCIA;13123;Providencia;13;Metropolitana de Santiago;4
UNIVERSIDAD DE LOS ANDES;34;1;CASA CENTRAL (SANTIAGO);13114;Las Condes;13;Metropolitana de Santiago;1
UNIVERSIDAD ADVENTISTA DE CHILE;38;1;CASA CENTRAL (CHILLAN);16101;Chillán;16;Ñuble;1
UNIVERSIDAD SAN SEBASTIAN;39;2;SEDE CONCEPCION;08101;Concepción;08;Biobío;5
UNIVERSIDAD SAN SEBASTIAN;39;5;SEDE OSORNO;10301;Osorno;10;Los Lagos;5
UNIVERSIDAD SAN SEBASTIAN;39;6;SEDE SANTIAGO;13101;Santiago;13;Metropolitana de Santiago;5
UNIVERSIDAD SAN SEBASTIAN;39;7;SEDE VALDIVIA;14101;Valdivia;14;Los Ríos;5
UNIVERSIDAD SAN SEBASTIAN;39;8;SEDE PATAGONIA (PUERTO MONTT);10101;Puerto Montt;10;Los Lagos;5
UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ;42;1;CASA CENTRAL (SANTIAGO);13101;Santiago;13;Metropolitana de Santiago;1
UNIVERSIDAD DEL DESARROLLO;45;1;CASA CENTRAL (CONCEPCION);08101;Concepción;08;Biobío;3
UNIVERSIDAD DEL DESARROLLO;45;2;SEDE SANTIAGO (LAS CONDES);13114;Las Condes;13;Metropolitana de Santiago;3
UNIVERSIDAD DEL DESARROLLO;45;4;SEDE SANTIAGO (S.C. APOQUINDO);13114;Las Condes;13;Metropolitana de Santiago;3
UNIVERSIDAD DE ACONCAGUA;46;11;SEDE LOS ANDES;05301;Los Andes;05;Valparaíso;11
