tipo;codigo_ies;nombre_ies;tipo_institucion_i;tipo_institucion_ii;tipo_institucion_iii;año;variable;subvariable;valor
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por insitución;Total Mujeres;210,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por insitución;Total Hombres;319,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por insitución;Total General;529,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Promedio de edad de los acádemicos;Promedio Edad Mujeres;43,2095238095238088
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Promedio de edad de los acádemicos;Promedio Edad Hombres;45,7178683385580058
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Promedio de edad de los acádemicos;Promedio Edad por institución;44,7221172022684073
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° acádemicos por rango de edad - Mujeres;Menos de 35;34,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° acádemicos por rango de edad - Mujeres;Entre 35 y 44;96,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° acádemicos por rango de edad - Mujeres;Entre 45 y 54;53,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° acádemicos por rango de edad - Mujeres;Entre 55 64;23,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° acádemicos por rango de edad - Mujeres;Entre 65 y mas;4,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° acádemicos por rango de edad - Mujeres;Sin información;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° académicos por rango de edad - Hombres;Menos de 35;36,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° académicos por rango de edad - Hombres;Entre 35 y 44;124,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° académicos por rango de edad - Hombres;Entre 45 y 54;99,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° académicos por rango de edad - Hombres;Entre 55 y 64;46,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° académicos por rango de edad - Hombres;Entre 65 y más;14,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° académicos por rango de edad - Hombres;Sin información;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 1 institución;276,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 2 instituciones;144,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Número de JCE de la institución que trabajan en 1 o más instituciones;En 3 o más instituciones;109,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Doctor;80,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Magister;379,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Especialidad médica u odontológica;1,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Título Profesional;58,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Licenciatura;8,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Técnico de Nivel Superior;1,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Técnico de Nivel Medio;1,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Licencia de Enseñanza Media;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Sin Título ni grado académico;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nivel de formación;Sin información;1,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Arica y Parinacota;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Tarapacá;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Antofagasta;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Atacáma;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Coquimbo;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Valparaíso;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región Metropolitana;529,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de O'Higgins;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Maule;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Ñuble;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región del Bíobío;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de la Araucanía;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de los Ríos;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de los Lagos;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Aysén;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Región de Magallanes y la Antártica;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por región en que se desempeña (orden geográfico);Sin información;NA
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nacionalidad;Chileno;483,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por nacionalidad;Extranjero;46,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Promedio de horas acádemicas contratadas a la semana por académico;Promedio general de la institución;13,8370888468808992
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Promedio de horas acádemicas contratadas a la semana por académico;Promedio de la institución Mujeres;15,6931904761904981
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;Promedio de horas acádemicas contratadas a la semana por académico;Promedio de la institución Hombres;12,6152037617554988
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por rango de horas contratadas;Menos de 11;334,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por rango de horas contratadas;Entre 11 y menos de 23;88,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por rango de horas contratadas;Entre 23 y menos de 39;27,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por rango de horas contratadas;Entre 39 y más;80,0000000000000000
Total;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de académicos por rango de horas contratadas;Sin información;NA
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de JCE por Institución;Total Mujeres;74,8993181818182023
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de JCE por Institución;Total Hombres;91,4602272727272947
JCE;1;UNIVERSIDAD GABRIELA MISTRAL;Universidades;Universidades Privadas;Universidades Privadas;PAC_2024;N° de JCE por Institución;Total General;166,3595454545459802
