nombre_ies;codigo_ies;codigo_sede;nombre_sede;region_sede;provincia_sede;comuna_sede;n_sedes
UNIVERSIDAD GABRIELA MISTRAL;1;1;CASA CENTRAL;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;1
UNIVERSIDAD FINIS TERRAE;2;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;1
UNIVERSIDAD DIEGO PORTALES;3;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
UNIVERSIDAD CENTRAL DE CHILE;4;1;SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;3
UNIVERSIDAD CENTRAL DE CHILE;4;7;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;3
UNIVERSIDAD CENTRAL DE CHILE;4;9;SUB-CAMPUS ALMAGRO NORTE;REGION METROPOLITANA;SANTIAGO;SANTIAGO;3
UNIVERSIDAD BOLIVARIANA;7;11;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;8
UNIVERSIDAD BOLIVARIANA;7;12;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;8
UNIVERSIDAD BOLIVARIANA;7;13;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;8
UNIVERSIDAD BOLIVARIANA;7;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;8
UNIVERSIDAD BOLIVARIANA;7;2;SEDE IQUIQUE;REGION DE TARAPACA;IQUIQUE;IQUIQUE;8
UNIVERSIDAD BOLIVARIANA;7;3;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;8
UNIVERSIDAD BOLIVARIANA;7;7;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;8
UNIVERSIDAD BOLIVARIANA;7;8;SEDE OVALLE;REGION DE COQUIMBO;LIMARI;OVALLE;8
